title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date
2 BHK Apartment for Sale in Bagalur Main Road Bangalore,₹70 Lac,795 sqft,https://www.magicbricks.com/brigade-el-dorado-bagalur-main-road-bangalore-pdpid-4d4235313234343235,1,4,2025-08-10 18:19:36.126630,Updated today,2025-08-10 12:00:00.000000
2 BHK Apartment for Sale in Kothanur Bangalore,₹1.80 Cr,1232 sqft,https://www.magicbricks.com/purva-palm-beach-kothanur-bangalore-pdpid-4d4235303337393936,1,5,2025-08-10 18:19:36.127126,Posted:   Yesterday,2025-08-09 12:00:00.000000
4 BHK Apartment for Sale in Krishnarajapura Bangalore,₹4.75 Cr,3630 sqft,https://www.magicbricks.com/brigade-exotica-k-r-puram-bangalore-pdpid-4d4235303233313334,1,6,2025-08-10 18:19:36.127741,Updated today,2025-08-10 12:00:00.000000
2 BHK Apartment for Sale in Huvinayakanahalli Bangalore,₹90 Lac,592 sqft,https://www.magicbricks.com/krypton-at-brigade-eldorado-huvinayakanahalli-bangalore-pdpid-4d4235333335363535,1,7,2025-08-10 18:19:36.128289,Updated today,2025-08-10 12:00:00.000000
4 BHK Villa for Sale in Bannerghatta Main Road Bangalore,₹2.80 Cr,4500 sqft,https://www.magicbricks.com/pride-vatika-bannerghatta-main-road-bangalore-pdpid-4d4235303037383031,1,10,2025-08-10 18:19:36.129806,Updated today,2025-08-10 12:00:00.000000
3 BHK Apartment for Sale in Panathur Bangalore,₹2.10 Cr,1507 sqft,https://www.magicbricks.com/sobha-sentosa-panathur-bangalore-pdpid-4d4235333239323937,1,11,2025-08-10 18:19:36.130266,Updated today,2025-08-10 12:00:00.000000
4 BHK Apartment for Sale in Yelahanka Bangalore,₹1.80 Cr,2650 sqft,https://www.magicbricks.com/almond-tree-yelahanka-bangalore-pdpid-4d4235303232353433,1,12,2025-08-10 18:19:36.130696,Updated today,2025-08-10 12:00:00.000000
3 BHK Apartment for Sale in Kadugodi Bangalore,₹1.29 Cr,1200 sqft,https://www.magicbricks.com/amrutha-maple-kadugodi-bangalore-pdpid-4d4235313131313433,1,16,2025-08-10 18:19:36.132829,Updated today,2025-08-10 12:00:00.000000
Plot/Land for Sale in Chandapura Bangalore,₹48 Lac,1200 sqft,https://www.magicbricks.com/upkar-spring-fields-chandapura-bangalore-pdpid-4d4235303137303231,1,17,2025-08-10 18:19:36.133314,Updated today,2025-08-10 12:00:00.000000
2 BHK Apartment for Sale in Sree Narayana Nagar Bangalore,₹39 Lac,685 sqft,https://www.magicbricks.com/bavisha-urban-homes-sree-narayana-nagar-bangalore-pdpid-4d4235313134383935,1,19,2025-08-10 18:19:36.134352,Updated today,2025-08-10 12:00:00.000000
1 BHK Apartment for Sale in Basavanagara Bangalore,₹28 Lac,475 sqft,https://www.magicbricks.com/jana-jeeva-apartments-basavanagara-bangalore-pdpid-4d4235313930353433,1,21,2025-08-10 18:19:36.135428,Updated today,2025-08-10 12:00:00.000000
2 BHK Apartment for Sale in Pulikeshi Nagar Bangalore,₹1.20 Cr,1100 sqft,https://www.magicbricks.com/greenland-shelter-frazer-town-bangalore-pdpid-4d4235303531333136,1,22,2025-08-10 18:19:36.135907,Updated today,2025-08-10 12:00:00.000000
3 BHK Apartment for Sale in RK Hegde Nagar Bangalore,₹95 Lac,1300 sqft,https://www.magicbricks.com/kempe-gowda-layout-hegde-nagar-bangalore-pdpid-4d4235343035333033,1,24,2025-08-10 18:19:36.136805,Posted:   Yesterday,2025-08-09 12:00:00.000000
Plot/Land for Sale in Yelahanka Bangalore,₹1.30 Cr,1500 sqft,https://www.magicbricks.com/vaishnavi-life-yelahanka-bangalore-pdpid-4d4235333235363637,1,26,2025-08-10 18:19:36.137788,Updated today,2025-08-10 12:00:00.000000
